,index,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,Deposit,Predict Proba
55,5819,35,admin.,single,high.school,no,yes,no,telephone,may,mon,319,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.1913455818462907
56,1469,36,technician,single,university.degree,no,yes,no,telephone,may,thu,163,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0.19480362305774923
57,970,53,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,166,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.18989046516060737
58,29504,46,blue-collar,married,basic.9y,no,yes,no,cellular,apr,mon,188,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.4351130469640313
59,17195,54,technician,married,professional.course,no,no,no,cellular,jul,fri,796,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.34727103731042763
60,20002,38,entrepreneur,married,university.degree,no,no,no,cellular,aug,fri,188,5,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,0.34013192843660894
61,34496,36,management,married,university.degree,no,yes,no,cellular,may,thu,128,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,0.4827999692520988
62,9039,25,services,single,professional.course,no,yes,no,telephone,jun,thu,18,3,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0,0.27186905728313315
63,22856,42,technician,married,professional.course,no,yes,no,cellular,aug,mon,386,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.27156702027779833
64,28258,27,technician,single,basic.9y,no,no,yes,cellular,apr,wed,79,2,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0,0.6491845295353196
65,3035,31,blue-collar,married,basic.9y,no,no,yes,telephone,may,wed,582,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.24911890095586078
66,20897,41,housemaid,married,basic.4y,no,yes,no,cellular,aug,thu,228,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.24355697610488397
67,1039,45,blue-collar,single,high.school,no,no,yes,telephone,may,wed,278,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.15325575108409306
68,21127,32,admin.,married,university.degree,no,yes,yes,cellular,aug,mon,124,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.26174247264892225
69,38344,49,admin.,single,high.school,no,no,no,cellular,oct,fri,165,1,999,1,failure,-3.4,92.431,-26.9,0.739,5017.5,0,0.7598253398420294
70,6966,30,blue-collar,single,basic.9y,no,yes,no,telephone,may,thu,578,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0.24457309327778845
71,18997,50,admin.,married,basic.9y,no,no,no,cellular,aug,tue,125,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0,0.33847790698134006
72,213,57,retired,married,basic.9y,no,no,no,telephone,may,mon,611,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.20504865706665568
73,15463,49,services,divorced,basic.6y,no,yes,yes,cellular,jul,fri,112,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0,0.3805422153122228
74,22162,34,technician,married,professional.course,no,yes,no,cellular,aug,thu,292,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.2782046871707376
75,27190,50,admin.,married,university.degree,no,yes,yes,cellular,nov,fri,189,2,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,0,0.23261149785251886
76,6030,34,services,married,high.school,no,no,no,telephone,may,tue,514,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.19016974468246567
77,23214,29,admin.,single,university.degree,no,yes,no,cellular,aug,tue,155,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.2859116633185168
78,4641,47,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,317,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.2440832263933789
79,3985,30,student,single,basic.9y,no,no,no,telephone,may,mon,234,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.24034047649189652
80,32164,38,admin.,married,high.school,no,no,no,cellular,may,fri,240,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0,0.39677263244733174
81,680,48,technician,married,basic.4y,no,no,no,telephone,may,tue,118,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.17630287121112748
82,31292,37,services,single,high.school,no,yes,no,cellular,may,wed,445,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,1,0.3087314223954578
83,14196,43,admin.,married,high.school,no,yes,yes,cellular,jul,mon,183,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.31420363205828056
84,36731,45,services,single,high.school,no,no,no,cellular,jun,mon,58,2,999,0,nonexistent,-2.9,92.963,-40.8,1.281,5076.2,0,0.7369187987405638
85,4300,41,technician,married,professional.course,no,no,no,telephone,may,tue,154,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.1897147775710031
86,27010,57,admin.,divorced,university.degree,no,yes,no,cellular,nov,fri,6,7,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,0.3139848878304184
87,34348,27,admin.,married,high.school,no,yes,yes,cellular,may,thu,201,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,0.5272189307273513
88,28717,47,admin.,single,high.school,no,yes,yes,cellular,apr,thu,1122,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,0.5753761062220073
89,33383,54,retired,divorced,professional.course,no,yes,no,telephone,may,tue,139,3,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0,0.21351324560222082
90,23798,33,technician,single,university.degree,no,no,no,cellular,aug,fri,162,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.29362082490957625
91,38013,53,technician,married,high.school,no,no,no,cellular,sep,wed,121,2,999,0,nonexistent,-3.4,92.379,-29.8,0.781,5017.5,0,0.813566833971319
92,5650,44,technician,single,basic.9y,no,yes,no,telephone,may,mon,440,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.19154694793053129
93,16414,31,blue-collar,married,basic.4y,no,yes,no,cellular,jul,wed,106,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.366428995559156
94,102,54,services,married,basic.9y,no,no,no,telephone,may,mon,400,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.18628406012416426
95,22273,56,blue-collar,married,basic.9y,no,yes,no,cellular,aug,thu,120,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.2647300916232926
96,24578,46,self-employed,married,basic.9y,no,no,yes,cellular,nov,mon,836,1,999,1,failure,-0.1,93.2,-42.0,4.191,5195.8,0,0.21161687187922568
97,20085,44,technician,married,professional.course,no,no,yes,cellular,aug,mon,607,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.2760492788775263
98,30541,44,admin.,divorced,high.school,no,yes,no,cellular,may,mon,72,4,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0,0.5986833232493776
99,37542,61,retired,married,basic.9y,no,yes,no,telephone,aug,fri,176,2,999,0,nonexistent,-2.9,92.201,-31.4,0.869,5076.2,0,0.7437401076179652
100,32152,35,blue-collar,married,high.school,no,yes,no,cellular,may,fri,130,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0,0.3913891429441733
101,35090,41,management,married,university.degree,no,yes,no,cellular,may,fri,100,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0,0.5288216401087874
102,28596,57,technician,married,high.school,no,no,no,cellular,apr,wed,469,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0,0.6239151801068161
103,32840,32,blue-collar,married,basic.6y,no,yes,yes,cellular,may,mon,101,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0,0.4159668057291912
104,190,41,technician,married,professional.course,no,no,no,telephone,may,mon,412,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.18756164490323574
105,20301,31,technician,single,professional.course,no,yes,no,cellular,aug,mon,106,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.29126440306083395
106,28128,40,services,single,high.school,no,no,no,cellular,apr,mon,275,1,999,0,nonexistent,-1.8,93.075,-47.1,1.466,5099.1,0,0.5167796384064648
107,20127,39,technician,single,professional.course,no,no,no,cellular,aug,mon,71,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.27496887342171505
108,26243,56,entrepreneur,married,university.degree,no,no,no,cellular,nov,thu,392,2,3,1,success,-0.1,93.2,-42.0,4.076,5195.8,0,0.5901110787057926
109,20366,47,blue-collar,married,basic.9y,no,no,no,cellular,aug,tue,172,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,0.3493589070277894
110,19335,51,admin.,married,high.school,no,no,no,cellular,aug,wed,301,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0,0.39481057358108773
111,21947,37,admin.,married,university.degree,no,yes,no,cellular,aug,wed,161,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.29146227259377505
112,13251,26,blue-collar,married,basic.9y,no,no,no,cellular,jul,wed,366,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.4220874232104515
113,39718,24,unemployed,single,high.school,no,no,yes,cellular,may,mon,375,2,999,0,nonexistent,-1.8,93.876,-40.0,0.697,5008.7,1,0.8702681188609499
114,29619,37,technician,single,university.degree,no,no,no,cellular,apr,mon,190,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.5289081745630397
115,3220,45,admin.,married,basic.6y,no,yes,no,telephone,may,thu,124,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0.21771592210818774
116,8457,42,blue-collar,married,high.school,no,yes,no,telephone,jun,tue,94,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0.24284407371180097
117,4712,32,management,single,university.degree,no,yes,no,telephone,may,wed,350,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.2510541441547238
118,33311,28,blue-collar,married,basic.4y,no,no,no,cellular,may,tue,442,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0,0.4084995419127947
119,27274,30,admin.,single,university.degree,no,yes,yes,telephone,nov,fri,26,10,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,0.2733429406332751
120,26741,53,self-employed,divorced,university.degree,no,no,no,cellular,nov,thu,380,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0.3023384406328425
121,6774,36,blue-collar,married,basic.4y,no,no,yes,telephone,may,wed,449,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.16747623104348341
122,452,60,management,married,university.degree,no,no,no,telephone,may,tue,451,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.25821000820207257
123,33012,44,blue-collar,married,basic.9y,no,yes,yes,cellular,may,mon,145,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0,0.3853483897454088
124,25471,48,admin.,single,professional.course,no,no,no,cellular,nov,wed,207,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0.34695290475588
125,23349,57,retired,married,professional.course,no,no,no,cellular,aug,wed,508,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.3081871071060363
126,21225,41,self-employed,married,university.degree,no,yes,yes,cellular,aug,mon,93,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.26639559131416046
127,16404,38,management,divorced,university.degree,no,yes,no,cellular,jul,wed,256,9,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.36380373900449525
128,30554,34,admin.,single,university.degree,no,no,no,cellular,may,mon,75,5,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0,0.6177114437011866
129,2144,50,management,married,basic.9y,no,no,no,telephone,may,mon,219,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.18420620708374405
130,30520,57,technician,married,university.degree,no,yes,no,cellular,may,mon,334,2,999,1,failure,-1.8,92.893,-46.2,1.354,5099.1,0,0.5196718973795605
131,37362,58,technician,married,professional.course,no,yes,no,cellular,aug,tue,89,2,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,1,0.7958997503967998
132,16918,53,retired,married,basic.9y,no,yes,yes,cellular,jul,thu,58,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.35166872499662216
133,20706,39,admin.,divorced,university.degree,no,yes,no,cellular,aug,wed,130,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.3438371328462298
134,31670,37,blue-collar,divorced,high.school,no,yes,no,cellular,may,thu,217,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0,0.4016832032070594
135,29706,35,blue-collar,married,basic.4y,no,yes,no,cellular,apr,mon,107,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.40883225143453217
136,35903,34,admin.,married,university.degree,no,yes,no,cellular,may,mon,304,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,0,0.543560694040618
137,27955,32,admin.,married,university.degree,no,yes,no,cellular,mar,mon,517,1,999,0,nonexistent,-1.8,92.843,-50.0,1.52,5099.1,1,0.6705374912848252
138,20271,39,admin.,married,high.school,no,yes,no,cellular,aug,mon,154,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.2573656766016498
139,36223,27,technician,single,university.degree,no,no,no,cellular,may,thu,68,1,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,0,0.544952876678929
140,23016,54,blue-collar,married,basic.9y,no,yes,no,cellular,aug,tue,110,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.27224898623855104
141,19025,41,technician,married,professional.course,no,no,no,cellular,aug,tue,269,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0,0.17838013893736845
142,996,41,services,single,high.school,no,yes,yes,telephone,may,wed,345,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.20294255224428678
143,31073,40,services,single,high.school,no,no,no,cellular,may,wed,197,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0,0.4162042440154419
144,7745,30,services,married,high.school,no,no,no,telephone,may,fri,147,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,0.23522365635253947
145,16866,39,self-employed,single,high.school,no,no,no,cellular,jul,thu,168,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.3494670594563975
146,28388,67,retired,married,university.degree,no,yes,no,telephone,apr,thu,126,4,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,0,0.65950342831518
147,13214,30,blue-collar,married,high.school,no,no,no,cellular,jul,wed,145,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.41373223031903733
148,21529,58,self-employed,married,university.degree,no,yes,yes,cellular,aug,tue,598,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.29480034510202485
149,17309,56,technician,married,high.school,no,yes,yes,cellular,jul,fri,84,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.3455828436703195
150,25287,32,admin.,divorced,high.school,no,no,no,cellular,nov,tue,115,1,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,0,0.2544356464907463
151,36721,36,technician,single,professional.course,no,no,no,cellular,jun,fri,146,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,1,0.8040342368493955
152,2714,29,blue-collar,married,basic.6y,no,no,yes,telephone,may,wed,168,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.24906516802228124
153,10146,29,services,married,professional.course,no,no,no,telephone,jun,thu,46,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0,0.25692145430527275
154,35693,40,admin.,single,high.school,no,yes,yes,cellular,may,mon,104,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,0.5346345293418284
155,17819,49,admin.,single,university.degree,no,no,no,cellular,jul,tue,57,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0.3785573040041919
156,958,38,blue-collar,single,basic.9y,no,no,no,telephone,may,wed,294,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.2084974701233162
157,3638,48,technician,married,basic.9y,no,no,yes,telephone,may,fri,136,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.20792322027997553
158,25920,31,technician,single,university.degree,no,yes,no,cellular,nov,wed,456,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0.36525694292629984
159,36884,56,self-employed,married,university.degree,no,yes,no,telephone,jun,thu,390,15,999,0,nonexistent,-2.9,92.963,-40.8,1.235,5076.2,0,0.7015097280678798
160,32336,57,management,married,high.school,no,yes,no,cellular,may,fri,129,2,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0,0.2954748154419134
161,12118,58,retired,married,basic.4y,no,yes,no,telephone,jun,mon,50,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,0,0.2503857790328675
162,26519,45,services,divorced,high.school,no,no,no,cellular,nov,thu,71,2,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,0,0.23199321326633152
163,8472,28,services,single,high.school,no,no,no,telephone,jun,tue,290,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0.2976487085182026
164,30092,28,unemployed,single,high.school,no,no,no,cellular,apr,mon,97,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,1,0.7209669807605414
165,18836,41,technician,married,university.degree,no,yes,no,cellular,aug,mon,53,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0,0.29156292807850037
166,34931,39,blue-collar,married,basic.6y,no,no,no,cellular,may,fri,124,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,0,0.5017110762160665
167,28880,43,admin.,single,high.school,no,yes,no,cellular,apr,fri,192,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0,0.4191619760979795
