,index,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,Deposit,Proba guess
16,24003,27,self-employed,single,university.degree,no,no,no,telephone,oct,fri,24,1,999,0,nonexistent,-0.1,93.798,-40.4,5.045,5195.8,0,0.41730480236712697
17,14692,27,blue-collar,single,high.school,no,no,no,cellular,jul,tue,290,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0.5586898284457517
18,8321,50,admin.,married,high.school,no,no,no,telephone,jun,tue,58,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0.14038693859523377
19,4458,41,management,married,basic.9y,no,yes,no,telephone,may,tue,378,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.1981014890848788
20,29871,24,technician,single,professional.course,no,yes,no,cellular,apr,mon,200,3,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0,0.8007445686755367
21,16284,58,retired,married,basic.4y,no,yes,no,cellular,jul,tue,216,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0.9682615757193975
22,2853,40,blue-collar,married,high.school,no,no,no,telephone,may,wed,1028,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,1,0.31342417815924284
23,30888,44,management,married,university.degree,no,yes,no,cellular,may,tue,71,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0,0.6923226156693141
24,28119,38,entrepreneur,married,professional.course,no,yes,yes,cellular,apr,mon,278,2,999,1,failure,-1.8,93.075,-47.1,1.466,5099.1,0,0.8763891522960383
25,7224,53,services,married,high.school,no,no,no,telephone,may,thu,113,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0.8946066635038473
26,3937,36,technician,married,university.degree,no,yes,no,telephone,may,mon,277,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.08504421136977791
27,15929,33,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,121,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,0.03905478323288236
28,35056,48,admin.,married,high.school,no,no,no,cellular,may,fri,322,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0,0.1698304195645689
29,4057,43,management,married,university.degree,no,no,no,telephone,may,mon,193,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.8781425034294131
30,36972,36,unemployed,married,basic.9y,no,no,no,cellular,jul,thu,153,1,999,0,nonexistent,-2.9,92.469,-33.6,1.072,5076.2,0,0.0983468338330501
31,28130,38,admin.,single,high.school,no,yes,no,cellular,apr,mon,332,2,999,1,failure,-1.8,93.075,-47.1,1.466,5099.1,0,0.42110762500505217
32,36321,26,technician,single,professional.course,no,yes,no,cellular,jun,tue,163,2,3,1,success,-2.9,92.963,-40.8,1.262,5076.2,1,0.9578895301505019
33,32945,36,admin.,married,high.school,no,yes,yes,cellular,may,mon,142,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0,0.5331652849730171
34,17523,46,blue-collar,married,high.school,no,no,no,cellular,jul,mon,33,29,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.6918771139504734
35,12168,36,technician,married,high.school,no,no,no,telephone,jul,tue,426,1,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,0,0.31551563100606295
36,10532,33,blue-collar,single,basic.4y,no,no,no,telephone,jun,tue,147,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.6865009276815837
37,22879,59,retired,married,basic.9y,no,no,no,cellular,aug,mon,105,9,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.8346256718973729
38,36198,35,admin.,married,high.school,no,yes,no,cellular,may,thu,210,2,3,1,success,-1.8,92.893,-46.2,1.27,5099.1,0,0.018288277344191806
39,40074,21,student,single,high.school,no,no,no,telephone,jul,thu,220,7,999,1,failure,-1.7,94.215,-40.3,0.81,4991.6,0,0.7501443149449675
40,13807,23,services,single,high.school,no,no,no,cellular,jul,thu,1097,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.9888610889064947
41,4719,52,services,married,university.degree,no,yes,no,telephone,may,wed,370,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.7481656543798394
42,35838,35,technician,divorced,professional.course,no,no,no,cellular,may,fri,354,1,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,1,0.2804439920644052
43,3010,33,admin.,married,university.degree,no,no,no,telephone,may,wed,122,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.7892793284514885
44,6275,29,blue-collar,married,high.school,no,no,no,telephone,may,tue,103,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.10322600657764203
45,5033,32,technician,married,professional.course,no,no,no,telephone,may,wed,293,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.44789352617590517
46,14346,27,blue-collar,single,basic.9y,no,yes,no,telephone,jul,mon,111,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.9085955030930956
47,18408,29,admin.,single,university.degree,no,no,no,cellular,jul,thu,117,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0,0.2936141483736795
48,27553,30,admin.,single,high.school,no,no,yes,cellular,nov,fri,64,2,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,0,0.28777533858634874
49,38517,75,retired,married,basic.4y,no,no,no,cellular,oct,wed,113,2,999,0,nonexistent,-3.4,92.431,-26.9,0.724,5017.5,0,0.13002857211827767
50,27744,23,admin.,single,university.degree,no,yes,no,cellular,mar,thu,64,1,999,0,nonexistent,-1.8,92.843,-50.0,1.757,5099.1,0,0.019366957870297075
51,23173,51,blue-collar,married,basic.4y,no,no,no,cellular,aug,tue,36,19,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.678835532939891
52,28765,24,blue-collar,married,basic.9y,no,no,no,cellular,apr,thu,178,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,0.21162811600005904
53,6628,38,admin.,married,professional.course,no,no,no,telephone,may,wed,314,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.2655466593722262
54,6512,45,services,married,high.school,no,yes,no,telephone,may,wed,171,6,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.4915731592803383
55,8633,49,admin.,married,university.degree,no,no,no,telephone,jun,wed,29,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0.053362545117080384
56,16787,54,blue-collar,married,basic.4y,no,yes,yes,cellular,jul,thu,71,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.5741176054920131
57,27785,39,admin.,single,high.school,no,yes,no,cellular,mar,tue,100,2,999,0,nonexistent,-1.8,92.843,-50.0,1.687,5099.1,0,0.14672857490581015
58,20203,33,technician,single,high.school,no,yes,no,cellular,aug,mon,104,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.5893055369032842
59,9637,25,services,single,high.school,no,yes,no,telephone,jun,mon,162,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.6997583600209312
60,32363,38,blue-collar,married,professional.course,no,no,no,cellular,may,fri,218,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0,0.10233442882782584
61,33039,34,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,273,5,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0,0.4140559878195683
62,32435,35,technician,married,high.school,no,yes,no,cellular,may,fri,104,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0,0.6944001577277451
63,26324,35,entrepreneur,married,high.school,no,yes,no,cellular,nov,thu,566,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,1,0.41417926952690265
64,32467,28,services,married,high.school,no,yes,no,cellular,may,fri,237,4,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0,0.04995345894608716
65,12799,40,admin.,single,university.degree,no,yes,no,cellular,jul,tue,238,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.5358964059155116
66,11231,23,services,single,high.school,no,no,no,telephone,jun,thu,197,10,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.6637946452197888
67,7913,52,technician,married,high.school,no,no,no,telephone,jun,mon,24,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,0.5148891120583086
68,24720,37,entrepreneur,married,university.degree,no,yes,no,telephone,nov,mon,17,1,999,1,failure,-0.1,93.2,-42.0,4.191,5195.8,0,0.9445947559908133
69,9640,59,housemaid,married,basic.4y,no,no,yes,telephone,jun,mon,63,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.5865550405019929
70,38615,37,self-employed,married,professional.course,no,yes,yes,cellular,nov,mon,1024,1,5,1,success,-3.4,92.649,-30.1,0.722,5017.5,1,0.9034019152878835
71,29276,49,technician,married,basic.9y,no,no,no,cellular,apr,fri,378,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.13747470414623753
72,23124,47,blue-collar,married,basic.4y,no,no,no,cellular,aug,tue,80,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.13927634725075855
73,10644,47,technician,married,professional.course,no,no,no,telephone,jun,tue,88,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.8073912887095238
74,863,48,admin.,single,university.degree,no,yes,no,telephone,may,wed,140,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.3976768369855336
75,15419,44,services,divorced,high.school,no,no,no,cellular,jul,fri,238,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0,0.16535419711693278
76,37061,44,blue-collar,single,high.school,no,yes,no,telephone,jul,wed,576,1,999,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,1,0.9275085803960339
77,32393,40,blue-collar,married,basic.6y,no,yes,no,cellular,may,fri,356,4,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0,0.34776585974550656
78,39961,32,blue-collar,single,high.school,no,no,no,cellular,jun,mon,197,1,999,1,failure,-1.7,94.055,-39.8,0.754,4991.6,0,0.7508121031361555
79,23845,53,technician,married,professional.course,no,no,yes,cellular,aug,fri,225,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.7259979853504515
80,30111,61,retired,divorced,university.degree,no,yes,no,cellular,apr,tue,118,2,999,0,nonexistent,-1.8,93.075,-47.1,1.384,5099.1,0,0.8833060912058098
81,18908,57,admin.,married,high.school,no,yes,no,cellular,aug,mon,166,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0,0.6236722070556089
82,8035,53,blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,518,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,0.7509424340273372
83,38419,42,blue-collar,married,professional.course,no,yes,no,cellular,oct,wed,307,1,7,1,success,-3.4,92.431,-26.9,0.735,5017.5,1,0.34889834197784253
84,12498,48,blue-collar,divorced,basic.4y,no,yes,yes,cellular,jul,mon,169,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,0.2699278917650261
85,8039,37,admin.,divorced,basic.9y,no,yes,no,telephone,jun,mon,303,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,0.8958862181960668
86,35260,31,admin.,single,basic.9y,no,no,no,cellular,may,fri,406,4,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,1,0.4280911898712949
87,26279,31,blue-collar,married,basic.9y,no,yes,no,cellular,nov,thu,415,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0.9648400471483856
88,16156,35,blue-collar,married,university.degree,no,no,no,cellular,jul,tue,87,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0.6634414978184481
89,1942,32,management,married,high.school,no,yes,no,telephone,may,fri,119,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0.6216957202091218
90,7135,40,admin.,single,high.school,no,yes,no,telephone,may,thu,1047,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,1,0.11474597295337519
91,15256,44,technician,single,professional.course,no,no,no,cellular,jul,thu,330,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0,0.9494892587070712
92,3368,31,blue-collar,married,basic.6y,no,yes,yes,telephone,may,thu,237,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0.4499121334799405
93,28979,19,student,single,high.school,no,yes,no,cellular,apr,fri,452,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.5783896143871318
94,31361,37,services,married,high.school,no,no,no,cellular,may,wed,317,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,0,0.40813680276128117
95,40937,27,blue-collar,single,high.school,no,yes,no,cellular,oct,tue,209,3,999,1,failure,-1.1,94.601,-49.5,0.982,4963.6,1,0.2370269802430277
96,37158,45,unemployed,divorced,basic.4y,no,yes,no,cellular,aug,wed,156,1,999,0,nonexistent,-2.9,92.201,-31.4,0.884,5076.2,0,0.9033795205622538
97,15795,29,admin.,single,university.degree,no,yes,no,cellular,jul,mon,333,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,0.5736794866722859
98,8530,36,entrepreneur,married,basic.6y,no,no,no,telephone,jun,wed,125,5,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0.00287032703115897
99,14894,49,services,married,high.school,no,yes,no,cellular,jul,wed,346,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0,0.6171449136207239
100,39516,30,student,single,high.school,no,yes,yes,cellular,apr,mon,102,3,10,1,success,-1.8,93.749,-34.6,0.645,5008.7,0,0.32664490177209615
101,28434,29,blue-collar,married,basic.9y,no,yes,no,cellular,apr,thu,1042,2,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,1,0.5270581022576093
102,13156,36,admin.,married,university.degree,no,yes,no,cellular,jul,wed,99,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.8859420993107745
103,11485,30,blue-collar,single,basic.4y,no,no,no,telephone,jun,fri,402,22,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,0.35726976000249977
104,38722,79,retired,married,basic.4y,no,no,yes,cellular,nov,tue,301,2,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,0.9085351509197992
105,28117,40,services,married,high.school,no,yes,no,cellular,apr,fri,151,2,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,0,0.6233601157918027
106,17698,57,admin.,married,professional.course,no,yes,no,cellular,jul,tue,47,7,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0.015821242846556283
107,9118,37,blue-collar,married,basic.4y,no,no,no,telephone,jun,fri,26,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,0.9294372337437613
108,4029,51,blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,387,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.690896917516924
109,39051,64,retired,married,high.school,no,yes,no,cellular,dec,wed,354,1,999,0,nonexistent,-3.0,92.713,-33.0,0.715,5023.5,1,0.9973228504514805
110,25508,35,admin.,married,university.degree,no,yes,no,cellular,nov,wed,114,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0.17234050834532855
111,29586,38,management,divorced,university.degree,no,no,no,cellular,apr,mon,611,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0,0.13713574962887776
112,7576,35,admin.,married,university.degree,no,no,no,telephone,may,fri,60,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,0.9325954630371636
113,13956,40,retired,married,basic.4y,no,yes,no,cellular,jul,fri,1689,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.6968181614899002
114,34418,32,admin.,single,high.school,no,yes,no,cellular,may,thu,149,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0,0.06600017272206249
115,1781,27,entrepreneur,married,university.degree,no,no,no,telephone,may,fri,530,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0.7554630526024664
116,13590,25,technician,single,professional.course,no,yes,no,cellular,jul,thu,660,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.7538761884612464
117,4564,37,unemployed,married,high.school,no,no,no,telephone,may,tue,56,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.9230245355464833
118,40327,31,technician,single,high.school,no,no,no,cellular,aug,mon,155,2,999,0,nonexistent,-1.7,94.027,-38.3,0.898,4991.6,0,0.7115247586284718
119,32005,43,admin.,single,high.school,no,no,no,cellular,may,thu,209,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0,0.1242709619721647
120,28115,51,technician,divorced,professional.course,no,no,no,cellular,apr,fri,579,2,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,0,0.01988013383979559
121,29299,31,blue-collar,married,basic.9y,no,yes,no,cellular,apr,fri,308,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.026210986877719278
122,39758,33,admin.,married,university.degree,no,yes,no,cellular,may,fri,101,2,999,3,failure,-1.8,93.876,-40.0,0.699,5008.7,0,0.028306488020794607
123,32993,32,blue-collar,married,basic.9y,no,no,no,cellular,may,mon,206,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0,0.2462110676030459
124,39706,34,admin.,married,high.school,no,yes,no,cellular,may,thu,321,4,999,3,failure,-1.8,93.876,-40.0,0.692,5008.7,0,0.860027948682888
125,25510,45,technician,divorced,professional.course,no,yes,yes,cellular,nov,wed,136,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,0,0.5388310643416528
126,36827,29,admin.,married,high.school,no,no,no,cellular,jun,mon,155,1,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,1,0.5528219786857659
127,32821,27,technician,married,professional.course,no,yes,no,cellular,may,mon,275,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0,0.8420308923596057
128,35235,24,technician,single,university.degree,no,yes,no,cellular,may,fri,117,4,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0,0.12417331511991114
129,5966,28,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,180,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.2791836790111395
130,33201,43,admin.,single,university.degree,no,yes,no,cellular,may,tue,305,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0,0.5857592714582879
131,12549,51,blue-collar,married,high.school,no,no,no,cellular,jul,mon,110,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,0.9695957483196745
132,8679,23,services,single,high.school,no,no,no,telephone,jun,wed,174,9,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0.56103021925571
133,28172,53,blue-collar,married,basic.4y,no,no,no,cellular,apr,mon,165,4,999,0,nonexistent,-1.8,93.075,-47.1,1.466,5099.1,0,0.01864728937294302
134,12805,53,retired,divorced,high.school,no,yes,no,cellular,jul,tue,256,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.8006326726806163
135,34353,27,blue-collar,single,basic.6y,no,yes,no,cellular,may,thu,9,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,0.23297427384102043
136,3400,38,blue-collar,single,basic.9y,no,no,no,telephone,may,thu,73,5,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0.8071051956187791
137,3916,32,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,166,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.38786064406417176
138,5621,44,blue-collar,single,basic.9y,no,no,no,telephone,may,mon,52,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.8635418545594287
139,20825,33,management,married,university.degree,no,yes,no,cellular,aug,wed,399,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.7471216427371846
140,30295,63,retired,married,high.school,no,no,no,cellular,apr,thu,198,1,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1,0,0.5562402339904189
141,11426,47,technician,married,professional.course,no,yes,yes,telephone,jun,fri,577,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,0.13645522566068502
142,31158,25,admin.,single,university.degree,no,no,no,cellular,may,wed,101,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0,0.05991768951221166
143,450,57,technician,married,basic.4y,no,no,no,telephone,may,tue,238,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.12134345574073735
144,12189,35,admin.,married,high.school,no,yes,yes,telephone,jul,tue,157,1,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,0,0.044551878544761725
145,14212,32,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,144,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.1074941291060929
146,19851,44,services,married,high.school,no,yes,yes,cellular,aug,fri,34,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,0.2257093386078547
147,32710,51,entrepreneur,married,professional.course,no,no,no,cellular,may,mon,59,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0,0.7129889803826767
148,27426,41,technician,married,university.degree,no,yes,no,cellular,nov,fri,12,5,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,0.5597169820541424
149,18803,34,technician,divorced,high.school,no,yes,no,cellular,jul,thu,27,13,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0,0.012555980159115854
150,5200,44,self-employed,married,university.degree,no,no,no,telephone,may,fri,38,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.07197427968948678
151,6168,44,blue-collar,married,basic.4y,no,no,no,telephone,may,tue,272,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.967276330000272
152,16290,47,blue-collar,single,high.school,no,yes,no,cellular,jul,tue,213,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0.5681004619199421
153,20939,31,technician,married,university.degree,no,yes,no,cellular,aug,thu,515,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.20329323466099047
154,13607,32,blue-collar,married,basic.4y,no,yes,no,cellular,jul,thu,96,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.2523257445703234
155,27912,51,technician,married,university.degree,no,yes,no,cellular,mar,thu,278,2,999,0,nonexistent,-1.8,92.843,-50.0,1.538,5099.1,0,0.7438258540750929
156,38449,32,services,single,high.school,no,yes,no,cellular,oct,fri,267,1,999,0,nonexistent,-3.4,92.431,-26.9,0.73,5017.5,0,0.1954294811093188
157,4811,43,admin.,married,high.school,no,yes,no,telephone,may,wed,140,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.5813589272732578
158,5004,36,blue-collar,married,high.school,no,no,no,telephone,may,wed,713,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.9700199890883123
159,13125,32,services,single,high.school,no,yes,no,cellular,jul,wed,72,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.8468288014900353
160,39832,38,technician,single,high.school,no,no,no,telephone,jun,wed,118,1,999,0,nonexistent,-1.7,94.055,-39.8,0.715,4991.6,0,0.23984775914758616
161,4529,52,blue-collar,married,basic.4y,no,no,no,telephone,may,tue,222,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.49376971426872995
162,41160,33,admin.,married,university.degree,no,no,no,cellular,nov,tue,843,1,999,0,nonexistent,-1.1,94.767,-50.8,1.035,4963.6,1,0.6199557183813798
163,5019,44,blue-collar,married,high.school,no,no,no,telephone,may,wed,250,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.8289808995501787
164,26666,51,management,divorced,high.school,no,no,no,cellular,nov,thu,486,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0.15679139464608427
165,10465,38,blue-collar,single,basic.6y,no,yes,no,telephone,jun,mon,97,6,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0,0.018576202177409518
166,12115,28,management,married,university.degree,no,no,no,telephone,jun,mon,138,4,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,0,0.07002214371922233
167,11365,57,services,divorced,high.school,no,no,no,telephone,jun,fri,53,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,0.4863451109370318
168,32320,39,blue-collar,married,high.school,no,no,yes,cellular,may,fri,248,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0,0.6063294616533303
